Seq. For Order,Observation Class,Domain Prefix,Variable Name (minus domain prefix),,Variable Label,Variable Name,Controlled Terms or Format,Role,CDISC Notes (for domains) Description (for General Classes),Core
10,Events,AE,DECOD,,Dictionary-Derived Term,AEDECOD,,Synonym Qualifier,Dictionary-derived text description of AETERM or AEMODIFY. Equivalent to the Preferred Term (PT in MedDRA). The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes,Req
11,Events,AE,CAT,,Category for Adverse Event,AECAT,,Grouping Qualifier,"Used to define a category of related records. Example: BLEEDING, NEUROPSYCHIATRIC.",Perm
12,Events,AE,SCAT,,Subcategory for Adverse Event,AESCAT,,Grouping Qualifier,A further categorization of adverse event. Example: NEUROLOGIC.,Perm
13,Events,AE,PRESP,,Pre-Specified Adverse Event,AEPRESP,NY,Record Qualifier,"A value of 'Y' indicates that this adverse event was pre-specified on the CRF. Values are null for spontaneously reported events (i.e., those collected as free-text verbatim terms)",Perm
14,Events,AE,BODSYS,,Body System or Organ Class,AEBODSYS,,Record Qualifier,"Dictionary derived. Body system or organ class used by the sponsor from the coding dictionary (e.g., MedDRA). When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables which may not necessarily be the primary SOC.",Exp
15,Events,AE,LOC,,Location of Event,AELOC,LOC,Record Qualifier,"Describes anatomical location relevant for the event (e.g., LEFT ARM for skin rash).",Perm
16,Events,AE,SEV,,Severity/Intensity,AESEV,AESEV,Record Qualifier,"The severity or intensity of the event. Examples: MILD, MODERATE, SEVERE.",Perm
17,Events,AE,SER,,Serious Event,AESER,NY,Record Qualifier,Is this a serious event?,Exp
18,Events,AE,ACN,,Action Taken with Study Treatment,AEACN,ACN,Record Qualifier,"Describes changes to the study treatment as a result of the event. AEACN is specifically for the relationship to study treatment. AEACNOTH is for actions unrelated to dose adjustments of study treatment. Examples of AEACN values include ICH E2B values: DRUG WITHDRAWN, DOSE REDUCED, DOSE INCREASED, DOSE NOT CHANGED, UNKNOWN or NOT APPLICABLE",Exp
19,Events,AE,ACNOTH,,Other Action Taken,AEACNOTH,,Record Qualifier,Describes other actions taken as a result of the event that are unrelated to dose adjustments of study treatment. Usually reported as free text. Example: 'TREATMENT UNBLINDED. PRIMARY CARE PHYSICIAN NOTIFIED.',Perm
20,Events,AE,REL,,Causality,AEREL,,Record Qualifier,"Records the investigator's opinion as to the causality of the event to the treatment. ICH E2A and E2B examples include NOT RELATED, UNLIKELY RELATED, POSSIBLY RELATED, RELATED. Controlled Terminology may be defined in the future. Check with regulatory authority for population of this variable",Exp
21,Events,AE,RELNST,,Relationship to Non-Study Treatment,AERELNST,,Record Qualifier,Records the investigator's opinion as to whether the event may have been due to a treatment other than study drug. May be reported as free text. Example: 'MORE LIKELY RELATED TO ASPIRIN USE.'.,Perm
22,Events,AE,PATT,,Pattern of Adverse Event,AEPATT,,Record Qualifier,"Used to indicate the pattern of the event over time. Examples: INTERMITTENT, CONTINUOUS, SINGLE EVENT.",Perm
23,Events,AE,OUT,,Outcome of Adverse Event,AEOUT,OUT,Record Qualifier,Description of the outcome of an event.,Perm
24,Events,AE,SCAN,,Involves Cancer,AESCAN,NY,Record Qualifier,Was the serious event associated with the development of cancer?,Perm
25,Events,AE,SCONG,,Congenital Anomaly or Birth Defect,AESCONG,NY,Record Qualifier,Was the serious event associated with congenital anomaly or birth defect?,Perm
26,Events,AE,SDISAB,,Persist or Signif Disability/Incapacity,AESDISAB,NY,Record Qualifier,Did the serious event result in persistent or significant disability/incapacity?,Perm
27,Events,AE,SDTH,,Results in Death,AESDTH,NY,Record Qualifier,Did the serious event result in death?,Perm
28,Events,AE,SHOSP,,Requires or Prolongs Hospitalization,AESHOSP,NY,Record Qualifier,Did the serious event require or prolong hospitalization?,Perm
29,Events,AE,SLIFE,,Is Life Threatening,AESLIFE,NY,Record Qualifier,Was the serious event life threatening?,Perm
30,Events,AE,SOD,,Occurred with Overdose,AESOD,NY,Record Qualifier,Did the serious event occur with an overdose?,Perm
31,Events,AE,SMIE,,Other Medically Important Serious Event,AESMIE,NY,Record Qualifier,Do additional categories for seriousness apply?,Perm
32,Events,AE,CONTRT,,Concomitant or Additional Trtmnt Given,AECONTRT,NY,Record Qualifier,Was another treatment given because of the occurrence of the event?,Perm
33,Events,AE,TOXGR,,Standard Toxicity Grade,AETOXGR,,Record Qualifier,"Toxicity grade according to a standard toxicity scale such as Common Terminology Criteria for Adverse Events v3.0 (CTCAE). Sponsor should specify name of the scale and version used in the metadata (see 6.2.1.1, Assumption 6c). If value is from a numeric scale, represent only the number (e.g., '2' and not 'Grade 2').",Perm
34,Events,AE,STDTC,,Start Date/Time of Adverse Event,AESTDTC,ISO 8601,Timing,,Exp
35,Events,AE,ENDTC,,End Date/Time of Adverse Event,AEENDTC,ISO 8601,Timing,,Exp
36,Events,AE,STDY,,Study Day of Start of Adverse Event,AESTDY,,Timing,Study day of start of adverse event relative to the sponsor-defined RFSTDTC.,Perm
37,Events,AE,ENDY,,Study Day of End of Adverse Event,AEENDY,,Timing,Study day of end of event relative to the sponsor-defined RFSTDTC.,Perm
38,Events,AE,DUR,,Duration of Adverse Event,AEDUR,ISO 8601,Timing,"Collected duration and unit of an adverse event. Used only if collected on the CRF and not derived from start and end date/times. Example: P1DT2H (for 1 day, 2 hours).",Perm
39,Events,AE,ENRF,,End Relative to Reference Period,AEENRF,STENRF,Timing,Describes the end of the event relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point (RFSTDTC) and a discrete ending point (RFENDTC) of the trial.,Perm
40,Events,AE,ENRTPT,,End Relative to Reference Time Point,AEENRTPT,ENRTPT,Timing,Identifies the end of the event as being before or after the reference time point defined by variable AEENTPT.,Perm
41,Events,AE,ENTPT,,End Reference Time Point,AEENTPT,,Timing,Description of date/time in ISO 8601 character format of the reference point referred to by AEENRTPT. Examples: '2003-12-25' or 'VISIT 2'.,Perm
1,Events,DS,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Events,DS,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Events,DS,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Events,DS,SEQ,,Sequence Number,DSSEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Events,DS,GRPID,,Group ID,DSGRPID,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
6,Events,DS,REFID,,Reference ID,DSREFID,,Identifier,Internal or external identifier.,Perm
7,Events,DS,SPID,,Sponsor-Defined Identifier,DSSPID,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a Disposition page.,Perm
8,Events,DS,TERM,,Reported Term for the Disposition Event,DSTERM,,Topic,"Verbatim name of the event or protocol milestone. Some terms in DSTERM will match DSDECOD, but others, such as 'Subject moved' will map to controlled terminology in DSDECOD, such as 'LOST TO FOLLOW-UP.'",Req
9,Events,DS,DECOD,,Standardized Disposition Term,DSDECOD,NCOMPLT,Synonym Qualifier,"Controlled terminology for the name of disposition event or protocol milestone. Examples of protocol milestones: INFORMED CONSENT OBTAINED, RANDOMIZED",Req
10,Events,DS,CAT,,Category for Disposition Event,DSCAT,DSCAT,Grouping Qualifier,"Used to define a category of related records. DSCAT is now an 'Expected' variable. DSCAT was permissible in SDTMIG 3.1.1 and earlier versions. The change from 'permissible' to 'expected' is based on the requirement to distinguish protocol milestones and/or other events from disposition events. DSCAT may be null if there are only 'disposition events'; however, it is recommended that DSCAT always be populated.",Exp
11,Events,DS,SCAT,,Subcategory for Disposition Event,DSSCAT,,Grouping Qualifier,A further categorization of disposition event.,Perm
12,Events,DS,EPOCH,,Epoch,EPOCH,,Timing,Epoch associated with the Element in the planned sequence of Elements for the ARM to which the subject was assigned,Perm
13,Events,DS,DTC,,Date/Time of Collection,DSDTC,ISO 8601,Timing,,Perm
14,Events,DS,STDTC,,Start Date/Time of Disposition Event,DSSTDTC,ISO 8601,Timing,,Exp
15,Events,DS,STDY,,Study Day of Start of Disposition Event,DSSTDY,,Timing,Study day of start of event relative to the sponsor-defined RFSTDTC.,Perm
1,Events,MH,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Events,MH,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Events,MH,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Events,MH,SEQ,,Sequence Number,MHSEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Events,MH,GRPID,,Group ID,MHGRPID,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
6,Events,MH,REFID,,Reference ID,MHREFID,,Identifier,Internal or external medical history identifier.,Perm
7,Events,MH,SPID,,Sponsor-Defined Identifier,MHSPID,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a Medical History page.,Perm
8,Events,MH,TERM,,Reported Term for the Medical History,MHTERM,,Topic,Verbatim or preprinted CRF term for the medical condition or event.,Req
9,Events,MH,MODIFY,,Modified Reported Term,MHMODIFY,,Synonym Qualifier,"If MHTERM is modified to facilitate coding, then MHMODIFY will contain the modified text.",Perm
10,Events,MH,DECOD,,Dictionary-Derived Term,MHDECOD,,Synonym Qualifier,Dictionary-derived text description of MHTERM or MHMODIFY. Equivalent to the Preferred Term (PT in MedDRA). The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes,Perm
11,Events,MH,CAT,,Category for Medical History,MHCAT,,Grouping Qualifier,Used to define a category of related records. Examples: CARDIAC or GENERAL,Perm
12,Events,MH,SCAT,,Subcategory for Medical History,MHSCAT,,Grouping Qualifier,A further categorization of the condition or event.,Perm
13,Events,MH,PRESP,,Medical History Event Pre-Specified,MHPRESP,NY,Record Qualifier,"A value of 'Y' indicates that this medical history event was pre-specified on the CRF. Values are null for spontaneously reported events (i.e., those collected as free-text verbatim terms)",Perm
14,Events,MH,OCCUR,,Medical History Occurrence,MHOCCUR,NY,Record Qualifier,Used when the occurrence of specific medical history conditions is solicited to indicate whether or not (Y/N) a medical condition (MHTERM) had ever occurred. Values are null for spontaneously reported events.,Perm
15,Events,MH,STAT,,Completion Status,MHSTAT,ND,Record Qualifier,The status indicates that the pre-specified question was not answered.,Perm
16,Events,MH,REASND,,Reason Medical History Not Collected,MHREASND,,Record Qualifier,Describes the reason data for a pre-specified condition was not collected. Used in conjunction with MHSTAT when value is NOT DONE.,Perm
17,Events,MH,BODSYS,,Body System or Organ Class,MHBODSYS,,Record Qualifier,"Dictionary-derived. Body system or organ class that is involved in an event or measurement from a standard hierarchy (e.g., MedDRA). When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables which may not necessarily be the primary SOC.",Perm
18,Events,MH,DTC,,Date/Time of History Collection,MHDTC,ISO 8601,Timing,,Perm
19,Events,MH,STDTC,,Start Date/Time of Medical History Event,MHSTDTC,ISO 8601,Timing,,Perm
20,Events,MH,ENDTC,,End Date/Time of Medical History Event,MHENDTC,ISO 8601,Timing,,Perm
21,Events,MH,DY,,Study Day of History Collection,MHDY,,Timing,"1. Study day of medical history collection, measured as integer days. 2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics. This formula should be consistent across the submission.",Perm
22,Events,MH,ENRF,,End Relative to Reference Period,MHENRF,STENRF,Timing,Describes the end of the event relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics),Perm
23,Events,MH,ENRTPT,,End Relative to Reference Time Point,MHENRTPT,ENRTPT,Timing,Identifies the end of the event as being before or after the reference time point defined by variable MHENTPT.,Perm
24,Events,MH,ENTPT,,End Reference Time Point,MHENTPT,,Timing,Description or date/time in ISO 8601 character format of the reference point referred to by MHENRTPT. Examples: '2003-12-25' or 'VISIT 2'.,Perm
1,Events,DV,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Events,DV,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Events,DV,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Events,DV,SEQ,,Sequence Number,DVSEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Events,DV,REFID,,Reference ID,DVREFID,,Identifier,Internal or external identifier.,Perm
6,Events,DV,SPID,,Sponsor-Defined Identifier,DVSPID,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF page.,Perm
7,Events,DV,TERM,,Protocol Deviation Term,DVTERM,,Topic,"Verbatim name of the protocol deviation criterion. Example: IVRS PROCESS DEVIATION - NO DOSE CALL PERFORMED. The DVTERM values will map to the controlled terminology in DVDECOD, such as TREATMENT DEVIATION.",Req
8,Events,DV,DECOD,,Protocol Deviation Coded Term,DVDECOD,,Synonym Qualifier,"Controlled terminology for the name of the protocol deviation. Examples: SUBJECT NOT WITHDRAWN AS PER PROTOCOL, SELECTION CRITERIA NOT MET, EXCLUDED CONCOMITANT MEDICATION, TREATMENT DEVIATION.",Perm
9,Events,DV,CAT,,Category for Protocol Deviation,DVCAT,,Grouping Qualifier,Category of the protocol deviation criterion.,Perm
10,Events,DV,SCAT,,Subcategory for Protocol Deviation,DVSCAT,,Grouping Qualifier,A further categorization of the protocol deviation.,Perm
11,Events,DV,EPOCH,,Epoch,EPOCH,,Timing,Epoch associated with the Element in the planned sequence of Elements for the ARM to which the subject was assigned,Perm
12,Events,DV,STDTC,,Start Date/Time of Deviation,DVSTDTC,ISO 8601,Timing,Start date/time of deviation represented in ISO 8601 character format.,Perm
13,Events,DV,ENDTC,,End Date/Time of Deviation,DVENDTC,ISO 8601,Timing,End date/time of deviation represented in ISO 8601 character format.,Perm
1,Events,CE,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Events,CE,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Events,CE,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Events,CE,SEQ,,Sequence Number,CESEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Events,CE,GRPID,,Group ID,CEGRPID,,Identifier,Used to tie together a block of related records for a subject within a domain.,Perm
6,Events,CE,REFID,,Reference ID,CEREFID,,Identifier,Internal or external identifier.,Perm
7,Events,CE,SPID,,Sponsor-Defined Identifier,CESPID,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF page.,Perm
8,Events,CE,TERM,,Reported Term for the Clinical Event,CETERM,,Topic,Term for the medical condition or event. Most likely pre-printed on CRF.,Req
9,Events,CE,DECOD,,Dictionary-Derived Term,CEDECOD,,Synonym Qualifier,Controlled terminology for the name of the clinical event. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes,Perm
10,Events,CE,CAT,,Category for Clinical Event,CECAT,,Grouping Qualifier,Used to define a category of related records.,Perm
11,Events,CE,SCAT,,Subcategory for Clinical Event,CESCAT,,Grouping Qualifier,A further categorization of the condition or event.,Perm
12,Events,CE,PRESP,,Clinical Event Pre-Specified,CEPRESP,NY,Record Qualifier,"Used to indicate whether the Event in CETERM was pre-specified. Value is Y for pre-specified events, null for spontaneously reported events.",Perm
13,Events,CE,OCCUR,,Clinical Event Occurrence,CEOCCUR,NY,Record Qualifier,Used when the occurrence of specific events is solicited to indicate whether or not a clinical event occurred. Values are null for spontaneously reported events.,Perm
14,Events,CE,STAT,,Completion Status,CESTAT,ND,Record Qualifier,The status indicates that a question from a pre-specified list was not answered.,Perm
15,Events,CE,REASND,,Reason Clinical Event Not Collected,CEREASND,,Record Qualifier,Describes the reason clinical event data was not collected. Used in conjunction with CESTAT when value is NOT DONE.,Perm
16,Events,CE,BODSYS,,Body System or Organ Class,CEBODSYS,,Record Qualifier,"Dictionary-derived. Body system or organ class that is involved in an event or measurement from a standard hierarchy (e.g., MedDRA). When using a multi-axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables which may not necessarily be the primary SOC.",Perm
17,Events,CE,SEV,,Severity/Intensity,CESEV,,Record Qualifier,"The severity or intensity of the event. Examples: MILD, MODERATE, SEVERE",Perm
18,Events,CE,DTC,,Date/Time of Event Collection,CEDTC,ISO 8601,Timing,,Perm
19,Events,CE,STDTC,,Start Date/Time of Clinical Event,CESTDTC,ISO 8601,Timing,,Perm
20,Events,CE,ENDTC,,End Date/Time of Clinical Event,CEENDTC,ISO 8601,Timing,,Perm
21,Events,CE,DY,,Study Day of Event Collection,CEDY,,Timing,"1. Study day of clinical event collection, measured as integer days. 2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics. This formula should be consistent across the submission.",Perm
22,Events,CE,STRF,,Start Relative to Reference Period,CESTRF,STENRF,Timing,Describes the start of the clinical event relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics).,Perm
23,Events,CE,ENRF,,End Relative to Reference Period,CEENRF,STENRF,Timing,Describes the end of the event relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics).,Perm
24,Events,CE,STRTPT,,Start Relative to Reference Time Point,CESTRTPT,STRTPT,Timing,Identifies the start of the observation as being before or after the reference time point defined by variable CESTTPT.,Perm
25,Events,CE,STTPT,,Start Reference Time Point,CESTTPT,,Timing,Description or date/time in ISO 8601 character format of the sponsor-defined reference point referred to by --STRTPT. Examples: '2003-12-15' or 'VISIT 1'.,Perm
26,Events,CE,ENRTPT,,End Relative to Reference Time Point,CEENRTPT,ENRTPT,Timing,Identifies the end of the event as being before or after the reference time point defined by variable CEENTPT.,Perm
27,Events,CE,ENTPT,,End Reference Time Point,CEENTPT,,Timing,Description or date/time in ISO 8601 character format of the reference point referred to by CEENRTPT. Examples: '2003-12-25' or 'VISIT 2'.,Perm
1,Findings,EG,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Findings,EG,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,EG,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,EG,SEQ,,Sequence Number,EGSEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,EG,GRPID,,Group ID,EGGRPID,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
6,Findings,EG,REFID,,ECG Reference ID,EGREFID,,Identifier,Internal or external ECG identifier. Example: UUID.,Perm
7,Findings,EG,SPID,,Sponsor-Defined Identifier,EGSPID,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number from the ECG page.,Perm
8,Findings,EG,TESTCD,,ECG Test or Examination Short Name,EGTESTCD,EGTESTCD,Topic,"Short name of the measurement, test, or examination described in EGTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in EGTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., '1TEST'). EGTESTCD cannot contain characters other than letters, numbers, or underscores. Examples :PRMEAN, QTMEAN",Req
9,Findings,EG,TEST,,ECG Test or Examination Name,EGTEST,EGTEST,Synonym Qualifier,"Verbatim name of the test or examination used to obtain the measurement or finding. The value in EGTEST cannot be longer than 40 characters. Examples: Summary (Mean) PR Duration, Summary (Mean) QT Duration",Req
10,Findings,EG,CAT,,Category for ECG,EGCAT,,Grouping Qualifier,"Used to categorize ECG observations across subjects. Examples: MEASUREMENT, FINDING, INTERVAL",Perm
11,Findings,EG,SCAT,,Subcategory for ECG,EGSCAT,,Grouping Qualifier,A further categorization of the ECG.,Perm
12,Findings,EG,POS,,ECG Position of Subject,EGPOS,POSITION,Record Qualifier,"Position of the subject during a measurement or examination. Examples: SUPINE, STANDING, SITTING.",Perm
13,Findings,EG,ORRES,,Result or Finding in Original Units,EGORRES,,Result Qualifier,"Result of the ECG measurement or finding as originally received or collected. Examples of expected values are 62 or 0.151 when the result is an interval or measurement, or 'ATRIAL FIBRILLATION' or 'QT PROLONGATION' when the result is a finding.",Exp
14,Findings,EG,ORRESU,,Original Units,EGORRESU,UNIT,Variable Qualifier,Original units in which the data were collected. The unit for EGORRES. Examples: sec or msec.,Perm
15,Findings,EG,STRESC,,Character Result/Finding in Std Format,EGSTRESC,EGSTRESC,Result Qualifier,"Contains the result value for all findings, copied or derived from EGORRES in a standard format or standard units. EGSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in EGSTRESN. For example, if a test has results of 'NONE', 'NEG', and 'NEGATIVE' in EGORRES and these results effectively have the same meaning, they could be represented in standard format in EGSTRESC as 'NEGATIVE'. For other examples, see general assumptions. Additional examples of result data: SINUS BRADYCARDIA, ATRIAL FLUTTER, ATRIAL FIBRILLATION.",Exp
16,Findings,EG,STRESN,,Numeric Result/Finding in Standard Units,EGSTRESN,,Result Qualifier,Used for continuous or numeric results or findings in standard format; copied in numeric format from EGSTRESC. EGSTRESN should store all numeric test results or findings.,Perm
17,Findings,EG,STRESU,,Standard Units,EGSTRESU,UNIT,Variable Qualifier,Standardized unit used for EGSTRESC or EGSTRESN.,Perm
18,Findings,EG,STAT,,Completion Status,EGSTAT,ND,Record Qualifier,"Used to indicate an ECG was not done, or an ECG measurement was not taken. Should be null if a result exists in EGORRES.",Perm
19,Findings,EG,REASND,,Reason ECG Not Performed,EGREASND,,Record Qualifier,Describes why a measurement or test was not performed. Examples: BROKEN EQUIPMENT or SUBJECT REFUSED. Used in conjunction with EGSTAT when value is NOT DONE.,Perm
20,Findings,EG,XFN,,ECG External File Name,EGXFN,,Record Qualifier,File name and path for the external ECG Waveform file.,Perm
21,Findings,EG,NAM,,Vendor Name,EGNAM,,Record Qualifier,Name or identifier of the laboratory or vendor who provided the test results.,Perm
22,Findings,EG,LOC,,Lead Location Used for Measurement,EGLOC,LOC,Record Qualifier,"The lead used for the measurement, examples, V1, V6, aVR, I, II, III.",Perm
23,Findings,EG,METHOD,,Method of ECG Test,EGMETHOD,EGMETHOD,Record Qualifier,Method of the ECG test. Examples: 12 LEAD STANDARD.,Perm
24,Findings,EG,BLFL,,Baseline Flag,EGBLFL,NY,Record Qualifier,Indicator used to identify a baseline value. The value should be 'Y' or null.,Exp
25,Findings,EG,DRVFL,,Derived Flag,EGDRVFL,NY,Record Qualifier,"Used to indicate a derived record. The value should be Y or null. Records which represent the average of other records, or that do not come from the CRF, or are not as originally collected or received are examples of records that would be derived for the submission datasets. If EGDRVFL=Y, then EGORRES could be null, with EGSTRESC, and (if numeric) EGSTRESN having the derived value.",Perm
26,Findings,EG,EVAL,,Evaluator,EGEVAL,,Record Qualifier,"Role of the person who provided the evaluation. Used only for results that are subjective (e.g., assigned by a person or a group). Should be null for records that contain collected or derived data. Examples: INVESTIGATOR, ADJUDICATION COMMITTEE, VENDOR.",Perm
27,Findings,EG,VISITNUM,,Visit Number,VISITNUM,,Timing,"Clinical encounter number. Numeric version of VISIT, used for sorting.",Exp
28,Findings,EG,VISIT,,Visit Name,VISIT,,Timing,1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY.,Perm
29,Findings,EG,VISITDY,,Planned Study Day of Visit,VISITDY,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,Perm
30,Findings,EG,DTC,,Date/Time of ECG,EGDTC,ISO 8601,Timing,Date of ECG.,Exp
31,Findings,EG,DY,,Study Day of ECG,EGDY,,Timing,"1. Study day of the ECG, measured as integer days. 2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics.",Perm
32,Findings,EG,TPT,,Planned Time Point Name,EGTPT,,Timing,"1. Text Description of time when measurement should be taken. 2. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See EGTPTNUM and EGTPTREF. Examples: Start, 5 min post.",Perm
33,Findings,EG,TPTNUM,,Planned Time Point Number,EGTPTNUM,,Timing,Numerical version of EGTPT to aid in sorting.,Perm
34,Findings,EG,ELTM,,Planned Elapsed Time from Time Point Ref,EGELTM,ISO 8601,Timing,"Planned elapsed time (in ISO 8601) relative to a fixed time point reference (EGTPTREF). Not a clock time or a date time variable. Represented as an ISO 8601 duration. Examples: '-PT15M' to represent the period of 15 minutes prior to the reference point indicated by EGTPTREF, or 'PT8H' to represent the period of 8 hours after the reference point indicated by EGTPTREF.",Perm
